State,Property_rate_all,Burglary_rate,Larceny_rate,Motor_rate,Violent_rate_all,Assault_rate,Murder_rate,Rape_rate,Robbery_rate
Alabama,2674.4,531.9,1886.1,256.5,510.8,381,7.3,42.2,80.4
Alaska,2910.8,487.1,2066,357.7,867.1,596,9.4,148.7,112.9
Arizona,2440.5,394.3,1796.9,249.4,455.3,311.9,5,50.3,88.1
Arkansas,2858,599.6,2012.6,245.9,584.6,447.8,8,77.2,51.6
California,2331.2,386.1,1586.3,358.8,441.2,267.1,4.3,37.5,132.4
Colorado,2590.7,348.4,1858.3,384,381,246.3,3.8,67.2,63.6
Connecticut,1426.6,180.7,1078.7,167.3,183.6,105,2.9,21.6,54.1
Delaware,2252.2,304.8,1782.7,164.7,422.6,304.7,4.9,31.8,81.1
Florida,2145.7,295.2,1668.7,181.8,378.4,258.3,5.2,39.4,75.5
Georgia,2375.8,372.1,1779.8,223.9,340.7,232,6.2,27.5,75
Hawaii,2841.2,377.2,2093,371.1,285.5,148.2,3.4,54,79.9
Idaho,1219.5,219.7,911.8,87.9,223.8,167.9,2,45.3,8.7
Illinois,1846.5,271.7,1426.6,148.2,406.9,254,6.6,48,98.4
Indiana,1971,323.7,1443.4,203.8,370.8,249.3,5.6,36.8,79.2
Iowa,1733.7,371.1,1199.6,163,266.6,200.4,1.9,36.9,27.4
Kansas,2314.5,342.7,1721.9,249.9,410.8,314.2,3.6,48.6,44.4
Kentucky,1897.4,345.7,1323.5,228.2,217.1,128.6,4.9,35.2,48.4
Louisiana,3162,579,2352.4,230.5,549.3,402.1,11.7,48.9,86.6
Maine,1245.6,174.8,1016.7,54,115.2,61.3,1.5,38.4,14
Maryland,1950.2,278.9,1485,186.2,454.1,261.3,9,31.6,152.2
Massachusetts,1179.8,179,911.8,89,327.6,241,2.2,32,52.4
Michigan,1585,286.1,1121.3,177.7,437.4,305.9,5.6,72.4,53.6
Minnesota,2078.8,282.4,1597.5,198.9,236.4,135.1,2.1,43.4,55.8
Mississippi,2375.8,627,1555.7,193.1,277.9,184.6,11.2,25.1,57.1
Missouri,2638.7,430.4,1865,343.3,495,357.4,9.3,47.5,80.8
Montana,2193.2,270.1,1700.6,222.4,404.9,324.9,2.5,58.4,19.2
Nebraska,2039.3,245.3,1536.3,257.7,300.9,192.9,2.3,64.8,40.9
Nevada,2322.1,503.5,1453,365.6,493.8,312.3,4.6,70.2,106.7
New Hampshire,1209.2,126.3,1017.3,65.7,152.5,83.7,2.4,43.4,23
New Jersey,1335.7,184.6,1034.7,116.4,206.9,122.2,2.9,17.2,64.5
New Mexico,3112.7,696.8,1988.8,427.2,832.2,650.5,8.6,61.4,111.6
New York,1373.3,141.9,1166.1,65.3,358.6,229,2.9,33.8,92.9
North Carolina,2357.3,519.1,1666,172.2,371.8,262.4,6,31,72.5
North Dakota,1977,342.2,1399.6,235.2,284.6,200.6,3.1,57.3,23.5
Ohio,2055.7,375.5,1520.4,159.7,293.2,163.9,4.6,49,75.7
Oklahoma,2845.3,671.7,1835.5,338.1,431.8,307.9,6.7,57.3,59.9
Oregon,2730.6,349.1,2021.5,360,284.4,185.5,2.8,42.2,54
Pennsylvania,1403.4,182.4,1124.2,96.8,306.4,191.1,5.2,34,76.1
Rhode Island,1534.8,219.1,1187.5,128.2,221.1,132.9,2.4,46.3,39.5
South Carolina,2940.3,533.4,2116.1,290.8,511.3,390.5,9,47.8,64
South Dakota,1771,299.1,1273.4,198.5,399,302.5,1.9,72.6,22
Tennessee,2652.6,437.4,1934.4,280.9,595.2,456.7,7.3,41.2,90.1
Texas,2390.7,392.8,1730.6,267.2,418.9,263,4.9,51.1,100
Utah,2169.3,276.7,1682.4,210.2,235.6,141.4,2.2,56.8,35.1
Vermont,1424.4,204.3,1172.3,47.8,202.2,144.6,1.8,44.6,11.4
Virginia,1642.7,162.8,1359.5,120.3,208,128.7,5,33,41.3
Washington,2681.9,453.6,1907.9,320.5,293.9,179.9,2.6,43.8,67.6
West Virginia,1583.4,328.7,1119.7,135,316.6,249.1,4.4,42.1,21.1
Wisconsin,1471.4,217.6,1127,126.8,293.2,200,3,38.8,51.4
Wyoming,1571.1,241.2,1206.7,123.2,217.4,147.6,2.2,56,11.6
